
Walls,0.03,0.01,0.01,0.42,2.9,1.6,0,2,0,1.37,10,2,2,2,10,10,10
Clutter,0.01,0.09,0,0.42,1.5,0.08,0.36,2,0,1.23,0.08,2,2,2,10,10,10
Clutter,0.02,0.01,0,1.14,0.8,0.13,0.04,2,0,1.15,0.79,2,2,2,10,10,10
Clutter,0.02,0.19,0.19,0.71,1,0.63,0.28,2,0,1,2.09,2,2,2,10,10,10
Walls,0.02,0.01,0.01,0.86,1,0.22,0.01,3,0,0.01,0.11,2,2,2,10,10,10
Walls,0.02,0.06,0,0.28,2,0.15,0,2,0,1.12,2.35,2,2,2,10,10,10
Walls,0.01,0.03,0.01,1.14,0.4,0.02,0,3,0,0.49,1.9,2,2,2,10,10,10
Clutter,0.01,0.1,0.1,1.92,0.3,0.38,0.8,1,0,2.72,0.03,2,2,2,10,10,10
Clutter,0.02,0.67,0.62,1.13,0.8,10,1.08,2,0,10,10,0,0,1,0.01,1.04,1
Clutter,0.02,0.03,0.01,0.78,0.9,1.24,1.15,0,0,1.49,0.05,2,2,2,10,10,10
Clutter,0.01,0.25,0.16,0.72,0.9,0.53,0.49,2,0,10,2.47,2,2,2,10,10,10
Walls,0.01,0.06,0.01,0.64,1,0.37,0.62,1,0,10,2.3,2,2,2,10,10,10
Clutter,0.01,0.53,0,0.22,1.9,10,0,2,0,1.37,0.31,2,2,2,10,10,10
Clutter,0.02,0.06,0.02,0.92,0.6,0.02,0.76,1,0,1,0.09,2,2,2,10,10,10
Clutter,0.03,0.01,0.01,1.36,0.9,0.13,0.28,0,0,1.24,1.76,2,2,2,10,10,10
Clutter,0.02,0.07,0.06,0.78,1.3,0.09,0.15,0,0,1.3,0.18,2,2,2,10,10,10
Clutter,0.01,0.06,0.01,0.57,1.3,0.02,0.12,1,0,0.38,0.53,2,2,2,10,10,10
Walls,0.02,0.03,0.04,3.64,0.3,0.12,0,1,0,0.6,1.43,2,2,2,10,10,10
Walls,0.02,0.09,0.01,0.94,0.9,0.15,0,0,0,0.07,0.05,2,2,2,10,10,10
Clutter,0.01,0.17,0,0.45,2.2,0.68,0.42,1,0,1.33,0.57,2,2,2,10,10,10
Clutter,0.02,0.12,0.11,0.57,2.4,0.22,0.09,1,0,1.45,1.55,2,2,2,10,10,10
Walls,0.01,0.03,0.02,0.64,1.4,0.44,0.76,3,0,0.44,2.13,2,2,2,10,10,10
Clutter,0.01,0.42,0.3,1,0.7,0.06,0.08,2,0,10,0.21,2,2,2,10,10,10
Walls,0.01,0.03,0,0.28,1.9,0.73,0,2,1,10,1.93,2,2,2,10,10,10
Clutter,0.01,0.07,0.01,0.5,2.4,0.84,0.24,3,0,1.15,0.52,2,2,2,10,10,10
Walls,0.01,0.06,0,0.22,2.1,0.84,0,1,1,1.02,0.84,2,2,2,10,10,10
Walls,0.02,0.03,0.01,1.28,2.1,0.12,0.58,7,0,1.48,0.51,2,2,2,10,10,10
Clutter,0.01,0.01,0,0.92,0.5,0.08,0,1,0,0.7,0.9,2,2,2,10,10,10
Clutter,0.02,0.06,0,0.85,1.9,0.05,0.42,1,1,1.34,0.86,2,2,2,10,10,10
Beams,0.01,0.02,0.76,3,0.1,1.78,0,2,1,10,10,0,0,0,2.7,0.6,1
Clutter,0.02,0.01,0,0.36,2,0.94,0,1,0,1.15,0.73,2,2,2,10,10,10
Clutter,0.01,0.77,0.18,0.76,1.6,10,0,2,0,1.15,1.35,2,2,2,10,10,10
Clutter,0.02,0.15,0,0.71,2.1,0.15,0.03,3,0,1.11,0.06,2,2,2,10,10,10
Clutter,0.01,0.31,0.31,1.36,0.5,0.19,0.18,0,0,1.73,0.58,2,2,2,10,10,10
Walls,0.03,0.01,0.01,0.42,2.3,0.02,0.06,0,0,1.51,1.68,2,2,2,10,10,10
Walls,0.02,0.03,0.01,0.72,2,0.1,0.39,4,0,1.3,0.77,2,2,2,10,10,10
Clutter,0.01,0.24,0.01,0.54,1,0.46,0,3,0,10,0.03,2,2,2,10,10,10
Clutter,0.02,0.03,0.04,0.64,1.7,0.01,0.34,3,0,1.46,0.95,2,2,2,10,10,10
Walls,0.02,0.02,0.01,0.28,2,0.01,0.08,2,0,1.9,1.76,2,2,2,10,10,10
Clutter,0.02,0.2,0.18,1.06,0.7,0.04,0.24,2,0,1.81,1.56,2,2,2,10,10,10
Clutter,0.01,0.01,1,1.7,0,1.74,0,2,0,10,10,0,0,0,0.6,0.02,1
Clutter,0.01,0.56,0.01,0.32,2,10,0.27,2,0,2.03,1.81,2,2,2,10,10,10
Clutter,0.02,0.11,0.1,1.22,0.8,0.21,0.55,2,0,1.78,1.55,2,2,2,10,10,10
Clutter,0.01,0.18,0.19,1.72,0.5,1.73,0.28,2,0,1.41,0.38,2,2,2,10,10,10
Walls,0.02,0.12,0.12,3.34,0.2,0.08,0,2,0,1,1.07,2,2,2,10,10,10
Clutter,0.01,0.12,0.99,1.56,0.1,0.76,0.72,3,0,10,10,0,1,0,0.14,0.82,1
Clutter,0.03,0.43,0,0.81,1.6,0.03,0.32,2,0,1.41,1.08,2,2,2,10,10,10
Walls,0.02,0.01,0.01,0.28,2.2,0.29,0,4,0,1.7,1.76,2,2,2,10,10,10
Walls,0.01,0.06,0,0.5,1.6,0.11,0,2,0,1.6,0.91,2,2,2,10,10,10
Clutter,0.02,0.27,0.26,1.78,0.4,0.43,0.61,1,0,1.57,0.1,2,2,2,10,10,10
Clutter,0.02,1.07,0.01,0.76,1.1,0.41,0.22,0,0,1.75,1.21,2,2,2,10,10,10
Clutter,0.01,0.28,0.96,1.35,0.2,0.72,0.61,1,0,10,10,0,1,0,0.01,0.82,0.75
Clutter,0.02,0.05,0.06,1.14,1,0.03,0.66,3,0,1.26,0.56,2,2,2,10,10,10
Clutter,0.01,0.07,0.06,0.5,1,1.23,0.19,1,0,1.24,0.56,2,2,2,10,10,10
Clutter,0.01,0.68,0.02,0.32,2.1,10,0.48,0,0,1.8,1.39,2,2,2,10,10,10
Clutter,0.01,0.02,0.01,1.2,0.6,0.46,0.8,0,0,1.29,0.88,2,2,2,10,10,10
Clutter,0.02,0.16,0.01,0.72,1.8,0.81,0.63,3,0,2.01,2.01,2,2,2,10,10,10
Beams,0.02,0.24,0.89,2.92,0.2,2.77,0,4,0,10,10,0,0,0,1.54,0.21,0.81
Clutter,0.02,0.17,0.05,0.72,1.5,0.11,0.05,1,0,1.2,1.44,2,2,2,10,10,10
Walls,0.02,0.17,0.98,1.77,0.1,0.76,0.95,3,0,10,10,0,0.5,0,0.02,0.99,1
Clutter,0.02,0.07,0.01,1.08,1.7,0.38,0.4,1,0,2.33,1.31,2,2,2,10,10,10
Clutter,0.02,0.26,0.18,0.78,2.1,0.36,0.17,4,0,0.06,1.58,2,2,2,10,10,10
Walls,0.02,0.4,0.04,0.36,1.8,0.08,0.57,2,0,2.21,1.3,2,2,2,10,10,10
Clutter,0.01,0.06,0.06,0.58,1.6,0,0.43,1,0,1.27,0.06,2,2,2,10,10,10
Clutter,0.03,0.03,0.02,0.64,1.6,1.49,0,2,0,0.06,0.63,2,2,2,10,10,10
Walls,0.02,0.08,0,0.78,1.6,0.01,1.01,3,0,1.89,1.86,2,2,2,10,10,10
Clutter,0.02,1.26,0,0.78,2.2,0.65,0.16,3,0,0.2,1.41,2,2,2,10,10,10
Clutter,0.02,0.07,1,1.58,0.1,0.85,0.06,1,0,10,10,0,0,1,0.24,0.84,1
Walls,0.01,0.66,0.01,0.5,2.1,10,0.68,2,0,1.86,1.4,2,2,2,10,10,10
Clutter,0.02,0.06,0,0.36,1.9,0.71,0,1,0,1.06,0.04,2,2,2,10,10,10
Walls,0.02,0.06,0,0.5,1.9,0.22,0,4,0,1.03,0.04,2,2,2,10,10,10
Walls,0.02,0.05,1,1.63,0,0.29,0,3,0,10,10,0,0,0.5,0.52,0.3,1
Clutter,0.01,0.06,0.02,0.5,1.6,0.58,0.48,1,0,1.61,0.9,2,2,2,10,10,10
Walls,0.01,0.04,0.76,1.42,0.4,2.93,0,2,0,10,10,0,0,0,0.41,1.07,0.12
Walls,0.02,0.02,0,0.86,0.7,0.01,0.22,3,0,0.23,1.21,2,2,2,10,10,10
Walls,0.02,0.05,0.01,0.78,2.5,0.21,0.02,4,0,1.97,1.41,2,2,2,10,10,10
Walls,0.02,0.03,0.01,0.36,2,0.01,0,2,1,1.25,0.89,2,2,2,10,10,10
Walls,0.35,0,0.01,6.9,2,0,0,7,1,1.03,0.01,2,2,2,10,10,10
Walls,0.17,0.07,0.02,2.92,2.3,0,0,6,1,1.11,2.04,2,2,2,10,10,10
Walls,0.4,0.01,0,6.84,2.6,0,0,4,1,1.01,1.86,2,2,2,10,10,10
Walls,0.07,0.03,0.01,2,2.2,0.17,0.01,1,0,1.12,2.35,2,2,2,10,10,10
Roofs,0.16,0.05,1,5.38,0.2,0,0,5,1,10,10,0,0,0,0.73,0,0.38
Roofs,0.03,0.01,1,2.16,0,0.1,0.07,1,1,10,10,0,0,0,0.61,0.02,0.41
Walls,0.06,0.01,0,1.14,2.1,0.88,0.21,2,0,1.13,2.39,2,2,2,10,10,10
Walls,0.07,0.02,0,1.92,2.1,0.36,0.53,3,0,1.13,2.4,2,2,2,10,10,10
Clutter,0.03,0.34,0,0.85,2,0.05,0.39,4,0,1.12,2.46,2,2,2,10,10,10
Walls,0.04,0.01,0,0.64,2,3.35,0.25,4,0,1.14,2.44,2,2,2,10,10,10
Walls,0.03,0.02,0,1.64,1.2,3.5,0,3,0,1.99,2.29,2,2,2,10,10,10
Walls,0.03,0,0.01,1.14,1.1,0.02,0.2,3,0,0.09,2.26,2,2,2,10,10,10
Walls,0.05,0.01,0,1.14,2.1,3.3,0.2,4,0,1.13,2.27,2,2,2,10,10,10
Clutter,0.07,0.01,0.01,3.28,1,0.26,0.81,4,0,1.18,0.11,2,2,2,10,10,10
Walls,0.1,0.01,0,3.42,3.4,5.52,0,2,0,1.14,1.07,2,2,2,10,10,10
Roofs,0.13,0.04,1,4.1,0.1,0,0,5,1,10,10,0,0.8,0,0.09,0.28,0.15
Walls,0.23,0.01,0,5.2,2.7,0,0,5,1,1.13,1.68,2,2,2,10,10,10
Walls,0.04,0.02,0.01,2.14,1.2,0.02,0.2,2,0,2.02,2.29,2,2,2,10,10,10
Walls,0.15,0.01,0.01,3.06,2.5,0,0,7,1,1.05,2.08,2,2,2,10,10,10
Walls,0.21,0.01,0,5.48,3.3,0,0,4,1,1.09,1.22,2,2,2,10,10,10
Clutter,0.03,0.47,0.02,0.73,2.7,5.2,0,2,0,1.13,1.68,2,2,2,10,10,10
Walls,0.11,0.02,0,2.14,2.7,5.32,0,2,0,1.13,1.67,2,2,2,10,10,10
Clutter,0.11,0.01,0.01,3,1.5,0.52,0,4,0,1.13,0.11,2,2,2,10,10,10
Clutter,0.05,0.02,1,2.48,0,0.77,0.76,1,0,10,10,0,0.67,1,0.08,0.96,1
Walls,0.09,0.01,0.01,2.06,2,3.5,0,2,0,1.58,0.34,2,2,2,10,10,10
Walls,0.04,0.06,0.04,2.28,1.5,3.77,0.25,0,0,2.32,0.09,2,2,2,10,10,10
Walls,0.34,0.02,0.03,5.7,2.7,0,0,8,1,1.11,1.67,2,2,2,10,10,10
Walls,0.2,0.01,0,3.28,2.5,0,0,8,1,1.11,0.13,2,2,2,10,10,10
Roofs,0.16,0.01,1,4.47,0,0,0,6,1,10,10,0,0.33,0,0.52,0.01,0.03
Walls,0.11,0.61,0,2.06,2.7,10,0.12,3,0,0.53,0.81,2,2,2,10,10,10
Walls,0.03,0.01,0.01,1,2.1,0.01,0.01,3,0,1.75,1.68,2,2,2,10,10,10
Walls,0.14,0.02,0.01,3.06,2.1,0,0,6,1,0,0.93,2,2,2,10,10,10
Walls,0.04,0.03,0.01,0.78,2.4,0.05,0.13,1,0,0.91,0.8,2,2,2,10,10,10
Walls,0.03,0.02,0.01,2.92,0.4,0,0,4,0,0.47,1.82,2,2,2,10,10,10
Walls,0.1,0.04,0.03,3.06,1.9,0.06,0,4,0,10,1.84,2,2,2,10,10,10
Walls,0.1,0.01,0,2.06,2.5,0.07,0,3,0,1.12,0.33,2,2,2,10,10,10
Clutter,0.03,0.64,0,0.73,1.7,10,0.05,2,0,1.8,0.16,2,2,2,10,10,10
Clutter,0.06,0.02,0.01,1.36,2,0.18,0.11,2,0,1.63,0,2,2,2,10,10,10
Walls,0.08,0.06,0.04,2.2,2.1,0.01,0.1,6,0,1.18,0.64,2,2,2,10,10,10
Walls,0.03,0.07,0.05,1.14,1.8,1.58,0.03,3,0,1.84,0.32,2,2,2,10,10,10
Walls,0.06,0.04,0,1.14,2.4,0.14,0.02,4,0,1.12,0.14,2,2,2,10,10,10
Walls,0.09,0.12,0.02,1.27,2.9,1.6,0.05,4,0,1.12,1.54,2,2,2,10,10,10
Clutter,0.04,0.3,0,0.63,2.1,0.68,0.4,3,0,1.12,0.28,2,2,2,10,10,10
Clutter,0.04,0.4,0.92,3.12,0.3,0.63,0.55,2,0,10,10,1,0,1,0.72,0.39,1
Walls,0.08,0.06,0.01,1.7,2.7,0.18,0,4,0,1.07,1.68,2,2,2,10,10,10
Walls,0.05,0,0.01,1.22,2.1,0.01,0.23,4,0,1.75,1.68,2,2,2,10,10,10
Clutter,0.04,0.05,1,1.84,0.1,0.87,0.77,2,0,10,10,0,0,0,0.27,0.82,0.94
Walls,0.03,0.03,0.01,0.86,1.8,0.1,0.08,2,0,0.16,0.32,2,2,2,10,10,10
Clutter,0.03,0.39,0,0.82,2,1.41,0.48,1,0,1.12,0.32,2,2,2,10,10,10
Walls,0.05,0.01,0,1.06,1.8,0.11,0,3,0,0.18,0.95,2,2,2,10,10,10
Beams,0.04,0.27,0.89,3.26,0.2,2.24,0,3,0,10,10,0,0,0,1.01,0.05,0.74
Clutter,0.05,0.3,0.29,2.7,1.1,0.81,0.73,4,0,10,2.66,2,2,2,10,10,10
Walls,0.03,0.02,0.03,1.92,2.4,0.69,0,5,0,1.39,1.67,2,2,2,10,10,10
Walls,0.05,0,0.01,0.86,2.5,0.63,0.3,3,0,1.12,0.12,2,2,2,10,10,10
Clutter,0.05,0.03,0.02,2.48,1.3,0,0.35,1,0,1.45,0.57,2,2,2,10,10,10
Walls,0.06,0.01,0,1,3.1,0.1,0,1,0,1.21,10,2,2,2,10,10,10
Walls,0.12,0.05,0.01,1.84,3.2,0.09,0,4,0,0.52,0.11,2,2,2,10,10,10
Walls,0.05,0.01,0,0.64,3,0.44,0.2,4,0,0.69,0.12,2,2,2,10,10,10
Walls,0.1,0,0,1.56,2.4,0.01,0,3,0,2.07,0.96,2,2,2,10,10,10
Walls,0.21,0,0,3.42,3.4,0,0,8,1,0.03,10,2,2,2,10,10,10
Clutter,0.05,0.16,0.16,2.3,1.1,0,0,1,0,0,1.48,2,2,2,10,10,10
Walls,0.13,0.01,0.02,3,1.9,0,0,8,1,10,1.79,2,2,2,10,10,10
Walls,0.21,0.01,0.02,4.06,2,0,0,5,1,1.81,1.68,2,2,2,10,10,10
Walls,0.25,0,0,3.84,2.8,0,0,4,1,1.94,0.93,2,2,2,10,10,10
Walls,1,0.02,0.01,4.26,11.5,0,0,7,1,10,0.32,2,2,2,10,10,10
Walls,0.07,0.01,0.01,1.56,2.6,0.03,0,0,0,0.47,1.94,2,2,2,10,10,10
Walls,0.07,0.01,0,1.5,3.9,0,0,4,0,2.38,0.24,2,2,2,10,10,10
Clutter,0.03,0.02,1,2.2,0,1.08,0.39,3,0,10,10,0.5,0,1,0.76,1.07,1
Walls,0.04,0.02,0.01,0.92,1.4,0.05,0.29,0,0,0.1,0.18,2,2,2,10,10,10
Beams,0.03,0.02,0.73,4.98,0.2,2.16,0,3,1,10,10,0,0,0,2.42,0.84,0.75
Walls,0.03,0.01,0,0.92,1.7,0.05,0.2,1,0,1.05,0.09,2,2,2,10,10,10
Walls,0.03,0.01,0,0.86,1.8,0.07,0,2,0,10,1.86,2,2,2,10,10,10
Walls,0.15,0.01,0.01,3.84,1.8,0,0,5,1,10,2.02,2,2,2,10,10,10
Walls,0.32,0,0.01,3.92,4.3,0,0,7,1,0.56,0.87,2,2,2,10,10,10
Walls,0.66,0,0.01,7.84,3.3,0,0,6,1,1.11,1.03,2,2,2,10,10,10
Walls,0.28,0,0,4.06,4,0,0,9,1,0.49,0.51,2,2,2,10,10,10
Walls,0.25,0.02,0.03,4.76,1.9,0,0,8,1,10,1.9,2,2,2,10,10,10
Walls,0.13,0.03,0.02,3.14,2.9,0,0,7,1,1.85,0.95,2,2,2,10,10,10
Walls,0.07,0.02,0.02,1.72,3.6,0.43,0.72,4,0,1.67,0.41,2,2,2,10,10,10
Walls,0.04,0.06,0.01,1.8,1.5,0.36,0.47,4,0,0.9,0.3,2,2,2,10,10,10
Walls,0.04,0.03,0.03,1.5,1.7,0.38,0.72,6,0,0.49,0.44,2,2,2,10,10,10
Walls,0.05,0.03,0.02,1.5,2,0.06,0,2,0,1.54,0.35,2,2,2,10,10,10
Walls,0.24,0,0.01,3.92,3.2,0,0,8,1,1.2,0.9,2,2,2,10,10,10
Walls,0.04,0.06,0.07,3.64,0.3,0,0,1,0,1.13,0.9,2,2,2,10,10,10
Walls,0.05,0.01,0,1.42,1.9,0.32,0.21,3,0,10,1.72,2,2,2,10,10,10
Walls,0.19,0.01,0,4.7,3.1,0,0,6,1,1.64,0.97,2,2,2,10,10,10
Walls,0.15,0.01,0,2.7,3,0,0,5,1,1.43,1.39,2,2,2,10,10,10
Clutter,0.05,0.51,0,0.76,2.4,10,0.23,2,0,0.98,0.54,2,2,2,10,10,10
Clutter,0.14,0.01,0,2.92,2.2,0,0,5,1,1.44,2.2,2,2,2,10,10,10
Walls,0.03,0.14,0.13,3.64,0.9,0.59,0.1,3,0,1.22,10,2,2,2,10,10,10
Clutter,0.06,0.16,0,1.06,2.2,0.19,0,1,0,1.7,0.05,2,2,2,10,10,10
Walls,0.04,0.04,0.02,1,2.2,0.04,0.21,2,0,1.16,0.69,2,2,2,10,10,10
Walls,0.04,0.04,0.03,1.14,1.4,0.07,0.98,2,0,2.18,0.53,2,2,2,10,10,10
Clutter,0.05,0.57,0,0.71,2.4,10,0.28,2,0,1.14,0.59,2,2,2,10,10,10
Walls,0.27,0,0,4.7,4.1,0,0,7,1,1.7,10,2,2,2,10,10,10
Walls,0.03,0.04,0.02,2,2.1,0.04,0.07,3,0,1.72,0.31,2,2,2,10,10,10
Walls,0.04,0.01,0,1.56,2.8,0.08,0,3,0,1.68,1.05,2,2,2,10,10,10
Walls,0.07,0.02,0,1.42,3,0.04,0.05,3,0,1.7,0.95,2,2,2,10,10,10
Walls,0.04,0,0,1.56,1.9,0.01,0,3,0,1.61,0.54,2,2,2,10,10,10
Clutter,0.03,0,0,0.5,2,0.04,0,1,0,1.69,0.04,2,2,2,10,10,10
Walls,0.3,0.02,0.02,4.2,3.3,0,0,7,1,1.1,1.07,2,2,2,10,10,10
Walls,0.05,0.01,0,1.14,2.7,0.01,0,3,0,1.72,1.41,2,2,2,10,10,10
Walls,0.03,0.05,0.01,0.42,2.6,1.43,0,3,0,1.84,1.41,2,2,2,10,10,10
Clutter,0.06,1.27,0.01,0.92,2.2,0.42,0,3,0,1.7,1.77,2,2,2,10,10,10
Walls,0.04,0.03,0.02,3.56,0.4,0.48,0,3,0,0.81,0.91,2,2,2,10,10,10
Walls,0.29,0.02,0.02,4.2,2.7,0,0,7,1,2.03,0.97,2,2,2,10,10,10
Walls,0.04,0,0.01,0.86,1.8,0.2,0.04,1,0,2.31,1.18,2,2,2,10,10,10
Clutter,0.04,0.06,1,2.52,0.1,0.92,0.42,1,0,10,10,0,0.5,1,0.28,0.93,0.7
Walls,0.08,0.02,0,1.28,3,0.11,0.17,3,0,1.42,1.46,2,2,2,10,10,10
Clutter,0.03,0.32,0.3,3.92,0.7,0.23,0,5,0,0.25,1.41,2,2,2,10,10,10
Walls,0.15,0.01,0.01,4.84,1.8,0,0,7,1,1.13,1.17,2,2,2,10,10,10
Walls,0.86,0.01,0,4.92,8.6,0,0,4,1,0.86,1.34,2,2,2,10,10,10
Clutter,0.05,0.01,1,5.26,0,1.64,0,1,0,10,10,0,0,0,0.45,0,1
Clutter,0.04,0.06,0.07,4.92,0.3,0.37,0.36,1,0,0.48,1.07,2,2,2,10,10,10
Clutter,0.05,0.21,0.05,0.98,2.6,0.29,0.18,4,0,1.64,1.59,2,2,2,10,10,10
Walls,0.05,0.07,0.06,1.06,2,0.11,0.61,2,0,1.92,1.38,2,2,2,10,10,10
Walls,0.12,0.01,0.01,3.36,3,0.13,0.15,4,0,1.43,1.41,2,2,2,10,10,10
